EMG_1,EMG_2,EMG_3,EMG_4,EMG_5,EMG_6,EMG_7,EMG_8,thumb_theta_1,thumb_theta_2,thumb_theta_3,index_theta_1,index_theta_2,index_theta_3,middle_theta_1,middle_theta_2,middle_theta_3,ring_theta_1,ring_theta_2,ring_theta_3,little_theta_1,little_theta_2,little_theta_3
0.5074183,0.4401527,0.48461714,0.46994776,0.48298058,0.5123702,0.5091707,0.5182463,45.0,32.0,22.0,61.0,49.0,48.0,15.0,13.0,20.0,12.0,1.0,1.0,16.0,22.0,13.0
0.5022854,0.4619083,0.48036915,0.4957049,0.4823811,0.49771145,0.47100854,0.4917324,42.0,37.0,33.0,17.0,24.0,38.0,59.0,48.0,49.0,78.0,79.0,65.0,70.0,79.0,73.0
0.5035054,0.49002114,0.49128103,0.50045377,0.5120462,0.5043866,0.47614756,0.46816686,33.0,44.0,25.0,68.0,48.0,51.0,4.0,8.0,29.0,19.0,29.0,21.0,9.0,27.0,17.0
0.49810556,0.4993375,0.48987278,0.5031157,0.5027411,0.5093072,0.4885567,0.47963703,17.0,33.0,49.0,36.0,69.0,58.0,58.0,45.0,49.0,56.0,53.0,30.0,36.0,35.0,39.0
0.5009941,0.49682572,0.4920936,0.4957049,0.5030628,0.49905556,0.4885567,0.46527967,31.0,48.0,59.0,63.0,75.0,71.0,61.0,71.0,84.0,60.0,66.0,71.0,66.0,63.0,63.0
0.4923344,0.4993375,0.48987278,0.5031157,0.5027411,0.5098414,0.4885567,0.46944153,16.0,39.0,56.0,56.0,66.0,42.0,56.0,64.0,37.0,47.0,34.0,53.0,37.0,36.0,39.0
0.5035054,0.5030495,0.503046,0.4957049,0.507913,0.50585365,0.49012205,0.4712417,38.0,16.0,52.0,50.0,34.0,32.0,58.0,31.0,31.0,31.0,45.0,30.0,45.0,34.0,55.0
0.5191697,0.4931637,0.49407282,0.46155885,0.49034244,0.49860153,0.4895913,0.4625652,35.0,30.0,58.0,50.0,60.0,45.0,7.0,20.0,8.0,24.0,25.0,25.0,21.0,23.0,10.0
0.49933094,0.49344227,0.4887895,0.49260414,0.48022345,0.5065082,0.48729026,0.4941824,34.0,42.0,40.0,71.0,55.0,47.0,3.0,2.0,14.0,13.0,2.0,19.0,19.0,12.0,15.0
0.5009941,0.46188408,0.49191016,0.4854629,0.4733577,0.49731076,0.4885567,0.50070566,43.0,30.0,31.0,46.0,57.0,48.0,38.0,56.0,32.0,53.0,50.0,31.0,30.0,49.0,43.0
0.51592475,0.4806015,0.4961431,0.4904599,0.5114418,0.50105,0.5089772,0.4911691,44.0,25.0,44.0,74.0,49.0,54.0,12.0,5.0,14.0,9.0,22.0,28.0,19.0,30.0,15.0
0.51475316,0.5010593,0.46247986,0.4653357,0.47863844,0.51377183,0.4895913,0.46756113,15.0,10.0,18.0,14.0,3.0,27.0,19.0,25.0,12.0,20.0,19.0,23.0,25.0,24.0,8.0
0.511313,0.493133,0.47770506,0.4793308,0.4796724,0.5002925,0.48828492,0.4719394,36.0,29.0,45.0,59.0,60.0,48.0,2.0,27.0,6.0,25.0,11.0,14.0,12.0,1.0,11.0
0.5009941,0.4781884,0.50580776,0.4854629,0.4695103,0.5043866,0.49012205,0.47236562,35.0,25.0,31.0,59.0,69.0,50.0,35.0,53.0,57.0,56.0,33.0,57.0,31.0,31.0,60.0
0.5091314,0.49740613,0.48894644,0.48502037,0.49211204,0.5002925,0.49351215,0.4961166,32.0,31.0,32.0,50.0,58.0,51.0,4.0,7.0,13.0,18.0,14.0,21.0,14.0,8.0,4.0
0.5009941,0.49206874,0.4924116,0.4957049,0.50660217,0.5045375,0.4885567,0.4926175,50.0,37.0,30.0,38.0,27.0,8.0,68.0,56.0,52.0,66.0,60.0,61.0,70.0,66.0,66.0
0.5009941,0.49206874,0.4924116,0.4957049,0.5030628,0.49905556,0.4885567,0.46778572,54.0,41.0,71.0,71.0,92.0,71.0,62.0,78.0,68.0,60.0,75.0,70.0,69.0,85.0,70.0
0.5009941,0.49206874,0.4920936,0.4957049,0.5030628,0.49905556,0.4885567,0.46778572,57.0,56.0,72.0,70.0,70.0,83.0,64.0,94.0,70.0,60.0,74.0,71.0,64.0,63.0,75.0
0.49810556,0.49682572,0.48987278,0.5031157,0.5027411,0.5093072,0.4885567,0.46439457,16.0,34.0,49.0,50.0,56.0,43.0,54.0,33.0,36.0,35.0,72.0,35.0,40.0,64.0,48.0
0.5035054,0.49206874,0.4920936,0.4957049,0.50660217,0.4956252,0.4885567,0.4917324,58.0,53.0,43.0,29.0,36.0,43.0,50.0,47.0,45.0,78.0,78.0,70.0,70.0,62.0,74.0
0.49810556,0.47645852,0.492288,0.50231016,0.4609575,0.507853,0.47762543,0.46524706,19.0,12.0,41.0,22.0,2.0,20.0,3.0,3.0,23.0,9.0,1.0,17.0,1.0,22.0,27.0
0.5035054,0.4614172,0.49726337,0.48720798,0.4695103,0.49731076,0.4831572,0.48307252,44.0,15.0,50.0,56.0,47.0,58.0,56.0,44.0,36.0,43.0,62.0,45.0,32.0,53.0,44.0
0.5192847,0.49515244,0.49419138,0.494546,0.503721,0.49907905,0.49465826,0.45695198,28.0,30.0,36.0,67.0,59.0,58.0,19.0,2.0,4.0,7.0,16.0,15.0,21.0,27.0,3.0
0.4975257,0.49682572,0.48987278,0.4957049,0.5027411,0.5098414,0.4885567,0.49011144,22.0,43.0,46.0,34.0,60.0,36.0,58.0,58.0,60.0,35.0,66.0,36.0,54.0,52.0,44.0
0.48655048,0.4858436,0.49453717,0.515229,0.4679972,0.5062266,0.47787735,0.5184504,18.0,12.0,27.0,23.0,29.0,14.0,29.0,6.0,17.0,7.0,8.0,29.0,2.0,1.0,26.0
0.5148739,0.46855584,0.5087247,0.48316157,0.4742233,0.5090953,0.5091707,0.4911691,45.0,26.0,41.0,62.0,58.0,57.0,23.0,13.0,9.0,12.0,13.0,28.0,20.0,26.0,23.0
0.49810556,0.49785525,0.48987278,0.49617848,0.5027411,0.5098414,0.4885567,0.47623268,18.0,40.0,45.0,48.0,70.0,57.0,58.0,44.0,39.0,45.0,42.0,43.0,52.0,55.0,31.0
0.5161875,0.49058867,0.47527015,0.46155885,0.4737126,0.51193035,0.4918202,0.5099906,23.0,41.0,40.0,72.0,55.0,50.0,2.0,27.0,8.0,0.0,1.0,11.0,1.0,15.0,15.0
0.50125307,0.44138822,0.5015419,0.46910137,0.4601635,0.5043866,0.48166004,0.49586314,34.0,21.0,29.0,57.0,55.0,50.0,24.0,21.0,13.0,14.0,24.0,2.0,19.0,11.0,19.0
0.5192847,0.43318373,0.49407282,0.46651328,0.46209505,0.5011541,0.47378948,0.5182463,42.0,27.0,46.0,61.0,57.0,58.0,17.0,19.0,5.0,16.0,5.0,7.0,18.0,24.0,11.0
0.4923344,0.49682572,0.48987278,0.5031157,0.5027411,0.5093072,0.4885567,0.49011144,16.0,34.0,40.0,34.0,74.0,58.0,50.0,50.0,38.0,49.0,31.0,45.0,53.0,52.0,47.0
0.5205157,0.4883128,0.49135137,0.5059707,0.4904441,0.50329435,0.49363196,0.48607725,24.0,22.0,47.0,70.0,59.0,55.0,2.0,1.0,11.0,7.0,29.0,17.0,5.0,15.0,2.0
0.5009941,0.4665532,0.45945948,0.4957049,0.4823811,0.4959251,0.45621264,0.4926175,47.0,44.0,35.0,16.0,26.0,46.0,61.0,59.0,45.0,76.0,70.0,63.0,61.0,68.0,72.0
0.50278807,0.49209404,0.501151,0.49362287,0.49978727,0.50973177,0.48943707,0.48412156,24.0,12.0,4.0,20.0,7.0,15.0,13.0,23.0,18.0,8.0,21.0,22.0,22.0,29.0,19.0
0.49317297,0.48145574,0.48830917,0.51052725,0.48911446,0.5086408,0.49425325,0.49667028,21.0,36.0,52.0,55.0,56.0,55.0,12.0,6.0,8.0,6.0,3.0,13.0,0.0,10.0,8.0
0.50408983,0.49290058,0.48622674,0.49060142,0.49150762,0.49949542,0.5080363,0.4933664,45.0,17.0,39.0,59.0,48.0,53.0,8.0,9.0,17.0,12.0,25.0,18.0,9.0,10.0,3.0
0.5009941,0.49682572,0.4924116,0.4957049,0.50391555,0.49905556,0.4885567,0.46527967,34.0,32.0,58.0,64.0,79.0,64.0,69.0,74.0,63.0,60.0,75.0,78.0,69.0,63.0,75.0
0.49988592,0.50053775,0.4961251,0.4957049,0.5043736,0.50241697,0.49012205,0.47902465,27.0,24.0,52.0,51.0,63.0,50.0,49.0,53.0,54.0,53.0,46.0,44.0,58.0,43.0,41.0
0.50239724,0.47578466,0.45285228,0.49353245,0.460304,0.5065982,0.47614756,0.46412033,27.0,40.0,39.0,53.0,58.0,46.0,22.0,16.0,18.0,25.0,17.0,20.0,2.0,23.0,22.0
0.5009941,0.49682572,0.4924116,0.4957049,0.5030628,0.49905556,0.4885567,0.46527967,35.0,33.0,52.0,63.0,93.0,74.0,60.0,69.0,77.0,60.0,82.0,68.0,71.0,68.0,71.0
0.49810556,0.49682572,0.48987278,0.5031157,0.5062805,0.5093072,0.4885567,0.48706025,16.0,35.0,39.0,42.0,36.0,56.0,32.0,45.0,37.0,40.0,65.0,43.0,52.0,57.0,34.0
0.50095147,0.44406164,0.44288495,0.4854629,0.4511386,0.50490946,0.44467556,0.5042175,23.0,39.0,56.0,62.0,47.0,51.0,4.0,27.0,29.0,21.0,21.0,3.0,11.0,23.0,21.0
0.51941323,0.4343845,0.49785405,0.47380546,0.4854433,0.51540697,0.49101916,0.5027662,3.0,10.0,14.0,12.0,8.0,15.0,8.0,8.0,1.0,18.0,6.0,7.0,22.0,27.0,5.0
0.5065521,0.46699476,0.44101858,0.4957049,0.4823811,0.5028027,0.45621264,0.4926175,49.0,37.0,58.0,10.0,30.0,12.0,62.0,56.0,54.0,85.0,72.0,64.0,66.0,75.0,72.0
0.5065521,0.46234986,0.44011584,0.4957049,0.4823811,0.5006654,0.45621264,0.4926175,40.0,47.0,56.0,9.0,43.0,35.0,69.0,58.0,49.0,77.0,61.0,74.0,67.0,65.0,66.0
0.5035054,0.47806278,0.49726337,0.4957049,0.5043736,0.5004632,0.49012205,0.48307252,44.0,19.0,40.0,54.0,53.0,37.0,37.0,35.0,41.0,35.0,53.0,48.0,51.0,49.0,58.0
0.50095147,0.49682572,0.48987278,0.4957049,0.5062805,0.5098414,0.4885567,0.46439457,20.0,43.0,31.0,58.0,44.0,43.0,41.0,41.0,37.0,42.0,53.0,48.0,39.0,66.0,42.0
0.5009941,0.49682572,0.4920936,0.48978934,0.50660217,0.5056031,0.4885567,0.4926175,39.0,56.0,30.0,25.0,8.0,4.0,57.0,50.0,60.0,72.0,71.0,65.0,62.0,78.0,69.0
0.4923344,0.50156724,0.47506508,0.5031157,0.50848657,0.5093072,0.49012205,0.4994442,16.0,22.0,58.0,36.0,75.0,54.0,58.0,69.0,57.0,39.0,35.0,31.0,37.0,43.0,31.0
0.50001377,0.50091094,0.46131313,0.49851957,0.48681042,0.50813544,0.47762543,0.47273433,17.0,14.0,11.0,20.0,24.0,10.0,6.0,18.0,21.0,14.0,21.0,15.0,19.0,19.0,10.0
0.5041698,0.4763909,0.5015419,0.47835147,0.46472672,0.5073915,0.48517513,0.4925845,34.0,19.0,27.0,46.0,48.0,55.0,27.0,22.0,22.0,21.0,11.0,23.0,10.0,12.0,28.0
0.5009941,0.49206874,0.4920936,0.4957049,0.5030628,0.49905556,0.4885567,0.46778572,59.0,45.0,72.0,73.0,87.0,72.0,62.0,79.0,86.0,60.0,98.0,79.0,61.0,66.0,69.0
0.5021646,0.495356,0.4857464,0.4833961,0.4843102,0.50152105,0.47377157,0.5116733,27.0,19.0,49.0,63.0,47.0,55.0,30.0,13.0,28.0,14.0,16.0,7.0,3.0,12.0,10.0
0.5194324,0.49089193,0.4825289,0.5043555,0.5057558,0.50544435,0.47507885,0.5123619,21.0,11.0,24.0,1.0,21.0,8.0,16.0,6.0,19.0,17.0,19.0,8.0,19.0,23.0,3.0
0.51137507,0.49350223,0.485773,0.49500805,0.48576447,0.50105,0.47762543,0.4883681,30.0,17.0,59.0,51.0,60.0,54.0,23.0,1.0,25.0,28.0,28.0,23.0,25.0,15.0,15.0
0.5035054,0.50053775,0.49785244,0.4957049,0.50880826,0.49731076,0.48272344,0.46844244,39.0,26.0,38.0,51.0,54.0,39.0,55.0,31.0,50.0,41.0,44.0,38.0,36.0,65.0,39.0
0.49776158,0.43748224,0.45688576,0.4810971,0.4589099,0.5071583,0.47787505,0.506964,14.0,28.0,33.0,22.0,8.0,20.0,4.0,17.0,21.0,12.0,16.0,1.0,2.0,10.0,23.0
0.5009941,0.494366,0.4920936,0.4957049,0.5030628,0.5012207,0.4885567,0.4926175,41.0,55.0,44.0,39.0,55.0,32.0,60.0,50.0,58.0,61.0,62.0,61.0,68.0,67.0,65.0
0.4838447,0.48095345,0.48689744,0.51052725,0.48911446,0.5106479,0.49408868,0.5173909,19.0,19.0,30.0,57.0,58.0,58.0,22.0,11.0,7.0,3.0,5.0,15.0,11.0,1.0,4.0
0.48822552,0.48134542,0.48971155,0.51427734,0.49680588,0.50842524,0.48902005,0.49840266,2.0,25.0,30.0,24.0,14.0,11.0,9.0,6.0,15.0,8.0,29.0,21.0,26.0,6.0,9.0
0.50317544,0.49089003,0.4904512,0.50038844,0.4991864,0.5033961,0.49101916,0.50325084,22.0,23.0,2.0,17.0,18.0,9.0,6.0,0.0,5.0,10.0,18.0,4.0,15.0,20.0,6.0
0.5091314,0.48950082,0.5015419,0.4733809,0.47523767,0.50711775,0.4895913,0.49182895,31.0,22.0,58.0,69.0,59.0,57.0,25.0,20.0,20.0,14.0,12.0,13.0,20.0,6.0,17.0
0.5065521,0.4660162,0.44663498,0.48978934,0.48322928,0.4959251,0.45621264,0.4926175,48.0,37.0,32.0,14.0,16.0,46.0,51.0,54.0,58.0,84.0,74.0,65.0,63.0,61.0,68.0
0.48655048,0.48494706,0.49605748,0.49625403,0.4713148,0.5068148,0.4978526,0.515352,19.0,25.0,28.0,58.0,55.0,57.0,29.0,27.0,9.0,2.0,15.0,13.0,15.0,3.0,25.0
0.50881964,0.46699476,0.44011584,0.4957049,0.4823811,0.49771145,0.45621264,0.4917324,55.0,59.0,49.0,9.0,29.0,38.0,60.0,47.0,45.0,81.0,73.0,70.0,64.0,67.0,61.0
0.5009941,0.49206874,0.4920936,0.4957049,0.5030628,0.49905556,0.4885567,0.46778572,57.0,49.0,82.0,66.0,65.0,74.0,68.0,86.0,68.0,60.0,80.0,88.0,61.0,94.0,75.0
0.51000327,0.49089193,0.4833718,0.5043555,0.49929377,0.5097371,0.49713802,0.50606865,14.0,28.0,17.0,7.0,19.0,2.0,0.0,7.0,8.0,23.0,12.0,4.0,1.0,19.0,4.0
0.5194324,0.5010593,0.4939855,0.49496624,0.49483773,0.5097736,0.47762543,0.46486014,5.0,16.0,43.0,28.0,19.0,15.0,20.0,11.0,21.0,18.0,11.0,16.0,21.0,27.0,1.0
0.5026377,0.48546848,0.5107001,0.49573103,0.49226266,0.51309997,0.49259618,0.4586344,0.0,16.0,39.0,4.0,28.0,8.0,21.0,3.0,4.0,7.0,21.0,29.0,13.0,27.0,26.0
0.51919097,0.45386556,0.47199303,0.47243592,0.48624605,0.51679456,0.47663432,0.51947075,4.0,1.0,45.0,15.0,4.0,22.0,7.0,26.0,20.0,1.0,9.0,3.0,24.0,15.0,7.0
0.49810556,0.50053775,0.48987278,0.5031157,0.512026,0.5093072,0.4885567,0.48706025,16.0,30.0,32.0,43.0,34.0,53.0,45.0,32.0,44.0,50.0,48.0,48.0,57.0,63.0,34.0
0.49826148,0.49089193,0.48751813,0.49350506,0.49516758,0.5002925,0.48315722,0.50424904,30.0,11.0,38.0,13.0,30.0,0.0,11.0,5.0,18.0,15.0,4.0,1.0,23.0,10.0,0.0
0.49927795,0.495356,0.4639114,0.48151237,0.45776743,0.5067304,0.4763569,0.50449234,20.0,18.0,34.0,64.0,47.0,46.0,19.0,16.0,19.0,23.0,14.0,1.0,6.0,12.0,28.0
0.5009941,0.49682572,0.4920936,0.4957049,0.5030628,0.49905556,0.4885567,0.46527967,33.0,57.0,69.0,71.0,69.0,69.0,66.0,81.0,71.0,60.0,100.0,70.0,76.0,64.0,78.0
0.5009941,0.49682572,0.4920936,0.4957049,0.5030628,0.49905556,0.4885567,0.46404064,38.0,51.0,85.0,69.0,74.0,81.0,61.0,66.0,88.0,60.0,87.0,81.0,73.0,61.0,79.0
0.5009941,0.49682572,0.4924116,0.4957049,0.5030628,0.49905556,0.4885567,0.46778572,39.0,35.0,65.0,68.0,72.0,84.0,62.0,65.0,68.0,60.0,85.0,66.0,67.0,97.0,66.0
0.49371955,0.50053775,0.48974445,0.4957049,0.512026,0.5093072,0.48567683,0.4647113,19.0,27.0,52.0,54.0,40.0,50.0,46.0,51.0,38.0,40.0,48.0,34.0,48.0,53.0,58.0
0.5009941,0.494366,0.4920936,0.4957049,0.5030628,0.49905556,0.4885567,0.46778572,42.0,42.0,60.0,63.0,75.0,85.0,61.0,86.0,67.0,60.0,62.0,89.0,77.0,93.0,63.0
0.5009941,0.47806278,0.4924116,0.4957049,0.50880826,0.49905556,0.4885567,0.46932754,50.0,31.0,68.0,64.0,80.0,67.0,68.0,91.0,72.0,60.0,60.0,74.0,65.0,89.0,62.0
0.4804223,0.46369365,0.48082048,0.4963934,0.4766746,0.50809735,0.47812697,0.5123619,3.0,5.0,42.0,5.0,23.0,23.0,26.0,4.0,18.0,16.0,10.0,1.0,6.0,6.0,14.0
0.4923344,0.49682572,0.48987278,0.5031157,0.5062805,0.5094717,0.4885567,0.48794535,16.0,37.0,36.0,35.0,31.0,59.0,46.0,61.0,39.0,52.0,69.0,45.0,50.0,54.0,57.0
0.5065521,0.46699476,0.44011584,0.48978934,0.5182767,0.49644288,0.45621264,0.4926175,44.0,58.0,54.0,7.0,9.0,40.0,57.0,52.0,51.0,77.0,73.0,62.0,62.0,76.0,69.0
0.5091314,0.49274644,0.47770506,0.49487403,0.4796724,0.49860153,0.49295324,0.49185622,33.0,41.0,55.0,72.0,54.0,50.0,16.0,19.0,10.0,24.0,25.0,26.0,1.0,2.0,7.0
0.48505783,0.4879146,0.47124398,0.5285008,0.453008,0.51227146,0.49413005,0.51004124,15.0,12.0,3.0,6.0,25.0,2.0,20.0,19.0,13.0,24.0,16.0,25.0,9.0,2.0,18.0
0.5127925,0.5014184,0.49615705,0.5038363,0.5032895,0.50937283,0.47951612,0.4675846,15.0,29.0,42.0,29.0,28.0,4.0,19.0,2.0,23.0,24.0,7.0,25.0,18.0,28.0,6.0
0.5009941,0.49682572,0.4924116,0.4957049,0.50660217,0.50250286,0.4885567,0.48794535,36.0,38.0,37.0,44.0,36.0,30.0,56.0,56.0,60.0,62.0,72.0,68.0,63.0,63.0,62.0
0.51954746,0.44417673,0.47527015,0.46155885,0.45493466,0.50610673,0.47663432,0.51972115,16.0,36.0,58.0,57.0,56.0,53.0,6.0,22.0,3.0,12.0,23.0,8.0,12.0,25.0,7.0
0.5009941,0.5030495,0.49863458,0.4957049,0.507913,0.50113016,0.49012205,0.47902465,35.0,16.0,43.0,52.0,44.0,38.0,48.0,71.0,59.0,31.0,45.0,47.0,46.0,38.0,58.0
0.5009941,0.49206874,0.4920936,0.4957049,0.5030628,0.49905556,0.4885567,0.46778572,58.0,59.0,71.0,69.0,92.0,74.0,62.0,63.0,75.0,60.0,88.0,65.0,71.0,88.0,79.0
0.5009941,0.49206874,0.4924116,0.4957049,0.5030628,0.49905556,0.4885567,0.46778572,56.0,36.0,47.0,74.0,71.0,73.0,70.0,79.0,83.0,60.0,80.0,75.0,70.0,64.0,89.0
0.5009941,0.49206874,0.4924116,0.4957049,0.5030628,0.49905556,0.4885567,0.46778572,60.0,37.0,57.0,75.0,63.0,78.0,66.0,70.0,67.0,60.0,96.0,88.0,70.0,94.0,81.0
0.5194324,0.5012409,0.4935698,0.5038363,0.5050764,0.50576174,0.47762543,0.46486014,26.0,0.0,30.0,11.0,14.0,10.0,15.0,4.0,19.0,28.0,4.0,20.0,15.0,26.0,4.0
0.49983385,0.50107336,0.4959599,0.4985345,0.49884462,0.5106479,0.4966062,0.4814302,24.0,6.0,9.0,30.0,27.0,7.0,30.0,9.0,7.0,20.0,5.0,23.0,8.0,25.0,12.0
0.4923344,0.5030495,0.47682092,0.5031157,0.512026,0.5093072,0.4898435,0.46727544,16.0,26.0,47.0,55.0,32.0,54.0,47.0,72.0,49.0,34.0,38.0,41.0,58.0,35.0,39.0
0.5009941,0.49206874,0.4920936,0.4957049,0.5030628,0.49905556,0.4885567,0.46778572,57.0,47.0,64.0,66.0,64.0,65.0,64.0,73.0,77.0,60.0,75.0,86.0,67.0,82.0,77.0
0.5009941,0.494366,0.4920936,0.4957049,0.50660217,0.50036556,0.4885567,0.4926175,41.0,45.0,37.0,29.0,37.0,34.0,60.0,56.0,55.0,82.0,70.0,73.0,69.0,77.0,70.0
0.5065521,0.46699476,0.44011584,0.4957049,0.4823811,0.4959251,0.45621264,0.4926175,43.0,46.0,58.0,9.0,59.0,53.0,68.0,53.0,53.0,74.0,75.0,67.0,63.0,67.0,61.0
0.5009941,0.45187014,0.49726337,0.4854629,0.4695103,0.49731076,0.4831572,0.4874276,42.0,22.0,55.0,48.0,38.0,50.0,30.0,65.0,47.0,36.0,75.0,38.0,31.0,56.0,38.0
0.4975257,0.5030495,0.4974963,0.4957049,0.512026,0.5093072,0.49012205,0.46311358,23.0,25.0,41.0,51.0,36.0,36.0,35.0,60.0,58.0,50.0,49.0,32.0,50.0,39.0,44.0
0.50508916,0.48260945,0.48006594,0.49691594,0.48453256,0.5090953,0.47614756,0.47420713,32.0,37.0,16.0,56.0,52.0,51.0,3.0,3.0,26.0,28.0,7.0,23.0,15.0,20.0,20.0
0.5091314,0.48459935,0.5018067,0.5080266,0.46472672,0.5043866,0.49351215,0.49162626,30.0,16.0,39.0,45.0,57.0,52.0,20.0,18.0,12.0,7.0,26.0,29.0,2.0,7.0,24.0
0.4804223,0.49364763,0.49327248,0.51041585,0.49632174,0.50508755,0.49620736,0.477052,6.0,18.0,33.0,27.0,17.0,0.0,20.0,2.0,5.0,17.0,21.0,13.0,20.0,5.0,12.0
0.49796653,0.4791456,0.4763887,0.49263814,0.4738179,0.5145692,0.49620643,0.49919608,24.0,12.0,13.0,7.0,0.0,29.0,17.0,11.0,8.0,18.0,8.0,20.0,8.0,11.0,20.0
0.5035054,0.47806278,0.49726337,0.4957049,0.507913,0.4956252,0.4831572,0.50349206,43.0,18.0,37.0,31.0,47.0,42.0,57.0,39.0,56.0,52.0,63.0,44.0,48.0,54.0,57.0
0.5035054,0.4758764,0.48187858,0.50035274,0.47961903,0.5090953,0.5040711,0.4896359,39.0,23.0,45.0,70.0,56.0,56.0,12.0,8.0,29.0,29.0,6.0,26.0,4.0,24.0,19.0
0.5148739,0.4839501,0.46247986,0.47245437,0.49320418,0.5152194,0.48517513,0.46672136,19.0,20.0,38.0,18.0,20.0,25.0,14.0,19.0,12.0,25.0,3.0,21.0,30.0,30.0,20.0
0.5148739,0.48435903,0.49928698,0.49580458,0.46950784,0.5090953,0.5091707,0.48062384,40.0,25.0,60.0,74.0,47.0,58.0,25.0,1.0,5.0,3.0,4.0,26.0,9.0,18.0,23.0
0.511313,0.44138822,0.49360314,0.4793308,0.45969036,0.50711775,0.48355976,0.5072275,32.0,32.0,34.0,47.0,48.0,51.0,4.0,26.0,28.0,14.0,7.0,3.0,28.0,1.0,17.0
0.49336916,0.4343845,0.46075594,0.46627417,0.45903403,0.51722413,0.4763569,0.49511132,11.0,18.0,38.0,10.0,4.0,27.0,0.0,15.0,21.0,9.0,9.0,3.0,27.0,30.0,27.0
0.5091314,0.49027187,0.48289138,0.49631673,0.4989224,0.5002925,0.47639948,0.49278066,31.0,36.0,21.0,55.0,56.0,56.0,14.0,1.0,21.0,5.0,14.0,12.0,6.0,2.0,9.0
0.5035054,0.47806278,0.4975949,0.4957049,0.51234764,0.49609765,0.48272344,0.4932742,43.0,26.0,49.0,45.0,47.0,48.0,32.0,45.0,56.0,58.0,63.0,59.0,41.0,63.0,37.0
0.5009941,0.49785525,0.49215406,0.4957049,0.5030628,0.50130296,0.4885567,0.46527967,32.0,35.0,34.0,56.0,58.0,34.0,32.0,49.0,40.0,34.0,34.0,59.0,48.0,50.0,31.0
0.5009941,0.47408545,0.4924116,0.48720798,0.49038348,0.49731076,0.4885567,0.4926175,42.0,37.0,41.0,40.0,44.0,48.0,60.0,67.0,48.0,47.0,68.0,35.0,32.0,74.0,31.0
0.49988592,0.50053775,0.4961886,0.4957049,0.50880826,0.5012668,0.48272344,0.49011144,27.0,26.0,34.0,40.0,52.0,58.0,38.0,68.0,32.0,56.0,32.0,44.0,60.0,53.0,55.0
0.5009941,0.50053775,0.4924116,0.4957049,0.51234764,0.50288534,0.48871872,0.4647113,34.0,28.0,30.0,52.0,39.0,30.0,39.0,60.0,51.0,38.0,42.0,31.0,60.0,46.0,57.0
0.5009941,0.494366,0.4920936,0.4957049,0.5030628,0.49905556,0.4885567,0.46778572,41.0,48.0,77.0,72.0,76.0,81.0,68.0,82.0,64.0,60.0,76.0,87.0,65.0,64.0,73.0
0.5009941,0.49682572,0.4920936,0.4957049,0.5030628,0.49905556,0.4885567,0.46527967,32.0,57.0,54.0,74.0,88.0,86.0,64.0,96.0,62.0,60.0,81.0,86.0,74.0,85.0,82.0
0.4962622,0.49758556,0.4912907,0.48806766,0.4853205,0.50868994,0.48876813,0.49763444,8.0,6.0,15.0,12.0,23.0,17.0,8.0,13.0,15.0,20.0,28.0,15.0,22.0,12.0,11.0
0.5009941,0.49206874,0.4924116,0.4957049,0.5030628,0.49905556,0.4885567,0.46778572,52.0,40.0,74.0,70.0,86.0,84.0,70.0,85.0,88.0,60.0,88.0,67.0,70.0,100.0,73.0
0.5009941,0.49682572,0.4920936,0.48978934,0.50660217,0.49614298,0.4885567,0.48794535,34.0,55.0,57.0,43.0,9.0,57.0,67.0,57.0,55.0,63.0,72.0,74.0,69.0,67.0,67.0
0.5009941,0.49682572,0.4924116,0.4957049,0.5030628,0.49905556,0.4885567,0.46527967,34.0,37.0,73.0,70.0,62.0,68.0,60.0,86.0,75.0,60.0,71.0,68.0,62.0,83.0,71.0
0.5009941,0.49807805,0.4924116,0.4957049,0.4925883,0.4981506,0.4885567,0.4941593,40.0,30.0,43.0,46.0,56.0,35.0,50.0,58.0,60.0,46.0,66.0,46.0,35.0,67.0,54.0
0.50095147,0.47645426,0.4961251,0.48720798,0.48068437,0.5093072,0.4831572,0.4994442,22.0,19.0,43.0,38.0,44.0,55.0,33.0,39.0,60.0,33.0,67.0,44.0,32.0,74.0,38.0
0.5022854,0.4840638,0.49863458,0.4957049,0.5043736,0.49750915,0.49012205,0.48131636,43.0,21.0,46.0,55.0,59.0,53.0,32.0,48.0,57.0,37.0,58.0,42.0,39.0,37.0,32.0
0.5148739,0.43318373,0.47835818,0.46910137,0.4601635,0.5043866,0.4734096,0.51098245,35.0,43.0,50.0,57.0,51.0,59.0,22.0,20.0,16.0,12.0,29.0,4.0,10.0,26.0,17.0
0.50095147,0.49682572,0.48987278,0.4957049,0.5027411,0.5098414,0.4885567,0.47623268,21.0,43.0,32.0,48.0,67.0,44.0,44.0,44.0,48.0,59.0,54.0,36.0,50.0,44.0,51.0
0.49731886,0.47931916,0.5009051,0.48324928,0.4718482,0.5072406,0.4969379,0.491599,25.0,1.0,34.0,21.0,7.0,29.0,21.0,30.0,17.0,27.0,30.0,25.0,21.0,10.0,27.0
0.5009941,0.49206874,0.4920936,0.4957049,0.5030628,0.49905556,0.4885567,0.46778572,56.0,49.0,77.0,62.0,71.0,72.0,63.0,84.0,81.0,60.0,72.0,68.0,68.0,70.0,82.0
